"327","1106","638.6"
"327","1134","649.8"
"331","1095","636.6"
"328","968","584.0"
"327","1035","610.2"
"327","1187","671.0"
"328","1001","597.2"
"327","1059","619.8"
"327","1017","603.0"
"328","1088","632.0"
"327","1089","631.8"
"328","1125","646.8"
"327","1281","708.5999999999999"
"327","1071","624.6"
"328","1001","597.2"
"328","1175","666.8"
"327","1102","637.0"
"328","1062","621.6"
"327","1255","698.2"
"328","1089","632.4"
"327","1155","658.2"
"328","1227","687.6"
"328","1192","673.6"
"327","1415","762.2"
"328","1502","797.6"
"327","1037","611.0"
"327","1151","656.6"
"327","1134","649.8"
"327","1048","615.4000000000001"
"327","990","592.2"
