"390","1557","856.8000000000001"
"388","1768","940.0"
"389","1525","843.4"
"388","1621","881.2"
"390","1509","837.6"
"388","1916","999.2"
"388","2134","1086.4"
"388","1581","865.2"
"387","1715","918.2"
"389","1574","863.0"
"389","1678","904.6"
"388","1871","981.2"
"386","1749","931.2"
"389","1481","825.8"
"390","1923","1003.2"
"385","1620","879.0"
"389","1889","989.0"
"388","1574","862.4"
"389","1703","914.6"
"389","1796","951.8000000000001"
"389","1545","851.4"
"389","1626","883.8000000000001"
"389","1842","970.2"
"386","1786","946.0000000000001"
"390","1589","869.6"
"391","1539","850.2"
"391","1664","900.2"
"388","1614","878.4"
"388","1678","904.0"
"387","1646","890.6000000000001"
