"326","1102","636.4"
"327","1027","607.0"
"326","983","588.8000000000001"
"330","1087","632.8"
"325","949","574.6"
"326","1103","636.8000000000001"
"327","1074","625.8"
"327","1071","624.6"
"330","980","590.0"
"326","1012","600.4"
"327","1052","617.0"
"334","1213","685.6"
"326","1042","612.4"
"326","992","592.4"
"327","1096","634.6"
"327","991","592.6"
"322","1166","659.6"
"329","1160","661.4"
"324","990","590.4"
"327","980","588.2"
"326","1085","629.6"
"331","1146","657.0"
"326","1073","624.8000000000001"
"326","1042","612.4"
"325","1133","648.2"
"326","926","566.0"
"326","972","584.4"
"327","1132","649.0"
"326","1043","612.8000000000001"
"330","1053","619.2"
