"40","933","4181","2232.2"
"50","612","2308","1290.4"
"60","501","2211","1185.0"
"70","352","1251","711.6"
"80","293","746","474.20000000000005"
"90","265","632","411.8"
"100","256","623","402.8"
"110","225","390","291.0"
